b = 178.4139114545757, l = -17.568134999683302, h = -6380316.623729643
b = -150.40679053343788, l = -150.15235171457363, h = -6385718.987531194
b = 95.16871649000028, l = -155.84260835326288, h = -6411054.604297291
b = -93.83908498470298, l = 142.99987072839488, h = -6411850.291708118
b = -170.04275064000663, l = -123.05177564142093, h = -6380674.242249365
b = -176.89739818325722, l = 102.1325689892151, h = -6380295.971029559
b = -168.05688153695374, l = -74.89986124440269, h = -6380959.769938389
b = -178.40403464980298, l = -149.01569142511647, h = -6379990.216586301
b = 178.61267443594417, l = -18.350862906858328, h = -6380298.442891835
b = -149.9213914190838, l = -150.855749032333, h = -6385901.696351643
b = 95.36928091273073, l = -153.82142170396213, h = -6410592.649923982
b = -93.63900371492639, l = 145.8850271843784, h = -6412529.040270592
b = -170.6106286509801, l = -122.32869423727081, h = -6380608.5281141065
b = -176.57364785789915, l = 103.14886879546468, h = -6380295.298072965
b = -126.92978320748283, l = 14.48581791253248, h = -6394831.268229353
b = -170.7934511092638, l = -122.08897711063719, h = -6380588.355225607
b = -176.4589319676665, l = 103.49060629944239, h = -6380295.787193265
b = -126.69532503111172, l = 14.08927868420077, h = -6394937.02632166
b = -170.97302641449386, l = -121.850226300956, h = -6380569.021097266
b = -176.34070045208634, l = 103.8339599688579, h = -6380296.661226399
b = -126.46738075190558, l = 13.694189580891265, h = -6395040.177335028
b = -171.14985577121303, l = -121.61218093495746, h = -6380550.438956871
b = -176.21872711053948, l = 104.17866797370847, h = -6380297.946567413
b = -126.24542950865506, l = 13.300640795179506, h = -6395140.925328878
b = -171.3234462494328, l = -121.37483793887414, h = -6380532.647847102
b = -176.09308570425245, l = 104.52466702432143, h = -6380299.667672349
b = -126.03017437616415, l = 12.908265443683971, h = -6395238.976340598
b = -171.49380575287734, l = -121.1386103421063, h = -6380515.622113068
b = -175.96360996659132, l = 104.87210130109007, h = -6380301.83307314
b = -125.82171237658044, l = 12.517693846778085, h = -6395334.292510431
b = -171.66160814941657, l = -120.90292143815826, h = -6380499.277416495
b = -175.83029951765405, l = 105.22110543880623, h = -6380304.485058979
b = -125.61895634735842, l = 12.128700836311197, h = -6395427.31864259
b = -171.8261088141494, l = -120.66823437706614, h = -6380483.653136347
b = -175.69291228186697, l = 105.57141063749505, h = -6380307.656048022
b = -125.42227355931841, l = 11.741295091032146, h = -6395517.892996578
b = -171.9876799534093, l = -120.43433985477027, h = -6380468.719538463
b = -175.55146559862547, l = 105.92336448032401, h = -6380311.360808357
b = -125.23153420873284, l = 11.355423211256374, h = -6395606.085261622
b = -172.14637272397547, l = -120.2012819741791, h = -6380454.430484118
